id,created_at,username,lang,text
818386101190754308,2017-01-09 09:17:06,Shapenetworks,en,Want to learn more about #digitaltransformation ? Make sure you read our latest #blogpost at https://t.co/zOSKamRQU0 https://t.co/js5S3LV2uB
818386098279907328,2017-01-09 09:17:05,de_velopment,en,"@shazziewagtails oh wow, that's really amazing!!"
818386094228209664,2017-01-09 09:17:04,TwinklWales,en,@TwinklNZ ☔Rain ☔Rain and more ☔Rain here!! 😭
818386089698324480,2017-01-09 09:17:03,Charlottefaye_,en,A very sleepy Monday from me this morning. Clearly my sleeping pattern isn't back in work mode. Anyone else not qui… https://t.co/gavZ6TvPD1
818386078726029312,2017-01-09 09:17:00,FreddyNewendyke,und,@LemonbeatsCHNL @_ziggyystardust 😍😍😍😍😍😍😍
818386076989587457,2017-01-09 09:17:00,raygalvani,en,"#oil painting of the day

#art #artist #painting

Ray Galvani. https://t.co/gV0QGFGcJA"
818386072375848960,2017-01-09 09:16:59,BenWeekender,und,😂😂 https://t.co/f4q9NL0BvD
818386058341654529,2017-01-09 09:16:55,FionaDecleorUK,en,@Kathlee01455187 @AlisonYoungQVC @DecleorUK @qvcuk hi Kathleen you can do depends how your skin is let me know so I can help xx
818386047239389184,2017-01-09 09:16:53,Claytoncast,en,Walking to King's Cross it's quite amazing the number of cyclists that don't feel a red light applies to them
818386030516703233,2017-01-09 09:16:49,NickAnstead,en,"Economist friends, a question. Other things being equal £⬇️=FTSE⬆️ because latter is in £. But can FTSE also be measured in real terms?"
818386027626819585,2017-01-09 09:16:48,HennaCx,en,Nightmare journey into work.Highlight was that I was locked into @bbcasiannetwork longer than usual!Thanks @TommySandhu &amp;team for the jokes!
818386026267897856,2017-01-09 09:16:48,gracecleverley,en,@LeanneCollinsx thanks Hunny!!! xx
818386025508700160,2017-01-09 09:16:48,OriginBroadband,en,"@stevepiekuta You too, Stephen!"
818386024766251008,2017-01-09 09:16:47,Bill_Gardner,en,Sorry for the excessive tweeting. Stuck in a cab in an epic traffic jam. Trying to see if I can find unsecured wifi in Whitehall.
818386009624903680,2017-01-09 09:16:44,aGibb_,en,"tube strikes can lead to some interesting journeys to work, however I'm not sure how google expects me to walk that… https://t.co/x6KjE3QKUH"
818385994202357760,2017-01-09 09:16:40,gracecleverley,en,"@demibourne1 thanks Dem, hope ur all good!! 😘 xx"
818385990284939269,2017-01-09 09:16:39,beckysingh,en,@ShappiKhorsandi wait til you get strobed
818385988833710080,2017-01-09 09:16:39,jake_hateley,en,#ChristopherRaeburn  #AW17 at #LFWM🇬🇧 shot by @jake_hateley for @wmag @ 180 the Strand https://t.co/YZqbo6yHjc
818385985260158976,2017-01-09 09:16:38,LisaToffolo,en,I love how London descends into chaos whenever there's a tube strike 🚋
818385969279860736,2017-01-09 09:16:34,linzisueboo,und,@ginab0beena https://t.co/r8L6C24EN8
818385967430123520,2017-01-09 09:16:34,lilyskitchen,en,@MisterShinto Teddy says hello! And enjoy your food - she loves the Whisker Lickin' Chicken 😻
818385965228191744,2017-01-09 09:16:33,damawa42,en,The whole Sofia Vergara 'anal' thing reminds me of my Polish colleague who pronounces 'panel' as 'painal' (Google it) (No don't)
818385964229922817,2017-01-09 09:16:33,TanyaAGT,en,"surgery website not loading up, damn it I need to order some meds"
818385958408167424,2017-01-09 09:16:32,Politicub,en,@cornwalltrainer I feel like the hashtag I include might not apply to you
818385957263147008,2017-01-09 09:16:31,century21NW11,en,Well priced commuter hotspots within striking distance of London https://t.co/xLqexVzGZc
818385955094663168,2017-01-09 09:16:31,EmmaBallantine,en,@yourmusicfilter @londongrammar @Amy__Macdonald Can't wait! :-)
